user,localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes,dike ID,pole_trend,pole_plunge
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 15b9bb974d2023bfdf461b59373f0482,403853.8778,5043052.149,45.53436837,-94.23139301, 15T,4,10,-1, Dike orientation ,83.59564209,225.386734,135.386734,0.10498333, Diabase Dike, Fri Jul 27 10:21:01 2018, NWD1 ,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, b2c01bac2f56795c1d4790445af97ea9,403852.1801,5043048.161,45.53433225,-94.23141397, 15T,4,5,-1, Dike orientation ,87.24465942,219.7212677,129.7212677,0.10498333, Diabase Dike, Fri Jul 27 10:19:20 2018, ,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, e9ebc2251aab1231abf8ad1c419f994c,403859.0303,5043038.97,45.53425048,-94.23132445, 15T,4,5,-1, Dike orientation ,84.99736786,156.6041107,66.60411072,0.10498333, Diabase Dike, Fri Jul 27 10:18:53 2018, NED17 ,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, bf64a51e6c760e2cbb4d7cd05926ec65,403859.0303,5043038.97,45.53425048,-94.23132445, 15T,4,5,-1, Dike orientation ,86.73201752,158.1271362,68.12713623,0.10498333, Diabase Dike, Fri Jul 27 09:13:30 2018, NED17 ,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 55312b8197ac6a5a7298abd2ecb76630,403861.3941,5043039.012,45.53425119,-94.23129419, 15T,4,5,-1, Dike orientation ,85.43199158,158.1677704,68.16777039,0.10498333, Diabase Dike, Fri Jul 27 09:13:12 2018, NED17 ,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 00e28bb7363d430fda74bcefee3ebb3f,403862.4245,5043051.566,45.53436431,-94.23128346, 15T,6,5,-1, Dike orientation ,85.35916901,164.0175018,74.01750183,0.10498333, Diabase Dike, Fri Jul 27 09:12:51 2018, NED17 ,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 7e3af0ae28515a926b22e68f1f9463f9,403861.7938,5043053.122,45.53437822,-94.23129184, 15T,6,5,-1, Dike orientation ,81.28200531,160.7101898,70.71018982,0.10498333, Diabase Dike, Fri Jul 27 09:12:26 2018, NED17,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 65b8dadf59d50a7443e39aac94686c75,403858.28,5043049.376,45.53434402,-94.2313361, 15T,8,5,-1, Dike orientation ,88.01332092,163.9138641,73.91386414,0.10498333, Diabase Dike, Fri Jul 27 09:12:01 2018, NED17,NED17,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 326af54f1dbd6647b51f94e2187c31f1,403854.1044,5043029.368,45.53416339,-94.23138564, 15T,4,10,-1, Dike orientation ,88.77415466,231.5084992,141.5084992,0.10498333, Diabase Dike, Fri Jul 27 08:46:08 2018, NWD1,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 488156ef3fcc2ea9c30e5f5e079455cf,403854.4955,5043026.702,45.53413946,-94.2313801, 15T,4,10,-1, Dike orientation ,88.34149933,51.53743362,321.5374451,0.10498333, Diabase Dike, Fri Jul 27 08:45:19 2018, NWD1 in corner by baked contact,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 49983059ef11bdd49c676461580e37ac,403632.6597,5042592.236,45.53019905,-94.23413507, 15T,3,5,-1, Dike orientation ,77.83866119,151.5231628,61.52316284,0.10498333, Diabase Dike, Thu Jul 26 18:31:26 2018, ,NED19,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 6e849a09e555d057a13b856d014b6edf,403633.0332,5042596.52,45.53023764,-94.23413113, 15T,4,5,-1, Dike orientation ,79.06409454,155.2452393,65.24523926,0.10498333, Diabase Dike, Thu Jul 26 18:31:17 2018, ,NED19,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 8bfd78896656865572b6bc57c3ea5cf2,404336.4423,5043394.692,45.53751738,-94.22528094, 15T,29.24679184,1414,-1, Dike orientation ,77.04707336,151.8324738,61.83247375,0.10498333, Diabase Dike, Thu Jul 26 18:30:54 2018, ,NED19,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 56357c64552d326d8d7dc102cc793296,403913.967,5042700.918,45.53121594,-94.23055465, 15T,3,5,-1, Dike orientation ,85.49252319,171.4312439,81.4312439,0.10498333, Diabase Dike, Thu Jul 26 17:23:17 2018, NED18 ,NED18,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, ea4dde32bdba20f12154fd57cf5a76ad,403915.5556,5042701.201,45.5312187,-94.23053437, 15T,4,10,-1, Dike orientation ,85.00460815,153.4219971,63.42199707,0.10498333, Diabase Dike, Thu Jul 26 17:22:52 2018, NED18 ,NED18,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 7e17bd8488fac91e3708977db7720b02,403915.5116,5042702.175,45.53122746,-94.23053512, 15T,4,5,-1, Dike orientation ,82.56098175,154.4366303,64.43663025,0.10498333, Diabase Dike, Thu Jul 26 17:22:29 2018, NED18,NED18,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 93202835acb6551cf9d64cde26a228c9,403911.7689,5042701.865,45.53122415,-94.23058298, 15T,4,5,-1, Dike orientation ,83.22763824,184.6870422,94.68704224,0.10498333, Diabase Dike, Thu Jul 26 17:21:43 2018, NED18,NED18,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 7488c96a265d0b12e332d299a2b04883,403883.7619,5042980.101,45.53372414,-94.23099621, 15T,4,5,-1, Dike orientation ,88.56986237,37.14319992,307.1431885,0.10498333, Diabase Dike, Thu Jul 26 13:35:50 2018, NWD1 (joint in granite near dike margin),NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, b1c2f2c9c28ddd1f30d57d19f8b847ab,403882.0538,5042977.147,45.53369732,-94.2310175, 15T,3,10,-1, Dike orientation ,88.41374207,215.7256928,125.7256928,0.10498333, Diabase Dike, Thu Jul 26 13:30:05 2018, ,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, d1f454b0d673b84f802a93543c640a49,403882.0671,5042977.584,45.53370126,-94.23101742, 15T,3,5,-1, Dike orientation ,87.7607193,38.32612991,308.3261414,0.10498333, Diabase Dike, Thu Jul 26 13:27:19 2018, NWD1,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 51aced12dea02437f259ce06a0ea66fb,403882.0671,5042977.584,45.53370126,-94.23101742, 15T,3,5,-1, Dike orientation ,89,215.1522522,125.1522522,0.10498333, Diabase Dike, Thu Jul 26 13:25:40 2018, NWD1,NWD1,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 2f1891cfb554a05a9bbc532d08ab3e14,403777.5909,5043333.158,45.53688663,-94.23242508, 15T,3,5,-1, Dike orientation ,83.91423798,154.5029755,64.50297546,0.10498333, Diabase Dike, Thu Jul 26 09:57:59 2018, NED15 ,NED15,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 8c0f7cb86331c5330e2a20c6748644f4,403777.5909,5043333.158,45.53688663,-94.23242508, 15T,3,5,-1, Dike orientation ,85.4462204,154.254303,64.25430298,0.10498333, Diabase Dike, Thu Jul 26 09:57:46 2018, NED15 ,NED15,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 8eccedbe1e5a74e51d068ffcf0f0031a,403777.5909,5043333.158,45.53688663,-94.23242508, 15T,3,5,-1, Dike orientation ,84.17456055,162.9447937,72.9447937,0.10498333, Diabase Dike, Thu Jul 26 09:55:11 2018, NED15 ,NED15,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, aa4cea951ced69d6b4a49e19bb34b7fe,403777.5909,5043333.158,45.53688663,-94.23242508, 15T,3,5,-1, Dike orientation ,83.11364746,152.7086029,62.70860291,0.10498333, Diabase Dike, Thu Jul 26 09:54:40 2018, NED15 ,NED15,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 5a31f5920edb8407dc30024cca423d95,403777.5909,5043333.158,45.53688663,-94.23242508, 15T,3,5,-1, Dike orientation ,82.13449097,155.1712341,65.17123413,0.10498333, Diabase Dike, Thu Jul 26 09:54:02 2018, NED15,NED15,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, b2a5560c700e300b92becdb9d96f7b37,403275.9363,5043124.039,45.53493528,-94.23880748, 15T,3,5,-1, Dike orientation ,88.26232147,344.1198425,254.1198425,0.10498333, Diabase Dike, Wed Jul 25 15:42:28 2018, NED14 ,NED14,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 3edc920df476a7e2362ebd9b4f530432,403274.6105,5043117.451,45.53487581,-94.23882315, 15T,4,5,-1, Dike orientation ,87.56578064,158.6880798,68.68807983,0.10498333, Diabase Dike, Wed Jul 25 15:41:50 2018, NED14,NED14,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 1b63151c86f294614b6a9025e2a7095a,403274.6105,5043117.451,45.53487581,-94.23882315, 15T,4,5,-1, Dike orientation ,88.89877319,338.6343689,248.6343689,0.10498333, Diabase Dike, Wed Jul 25 15:41:30 2018, NED14,NED14,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 406bfdf30b7d696666ef3536cd33e3db,403268.3751,5043111.702,45.53482322,-94.23890186, 15T,4,10,-1, Dike orientation ,88.75576019,345.1052551,255.1052551,0.10498333, Diabase Dike, Wed Jul 25 15:41:18 2018, NED14,NED14,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 9fbd22925eb850fa010ca6c203c46f13,403271.0975,5043124.379,45.53493767,-94.2388695, 15T,3,5,-1, Dike orientation ,85.51176453,339.2935791,249.2935791,0.10498333, Diabase Dike, Wed Jul 25 14:26:55 2018, ,NED13,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, cc7ba6f3b7aa90aa6621157ae4c92af0,403269.6748,5043124.238,45.5349362,-94.23888769, 15T,4,5,-1, Dike orientation ,84.92149353,335.1911926,245.1911926,0.10498333, Diabase Dike, Wed Jul 25 14:26:40 2018, NED13 ,NED13,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 6de0b2b7b5566fd31b687bce95dfbb12,403270.9042,5043124.582,45.53493947,-94.23887202, 15T,3,5,-1, Dike orientation ,85.2280426,346.5542603,256.5542603,0.10498333, Diabase Dike, Wed Jul 25 14:24:44 2018, NED13,NED13,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 2a8c35ba9f92e24dc1a2503fd3cf73e1,403248.2629,5043115.757,45.53485691,-94.23916019, 15T,4,5,-1, Dike orientation ,88.90795898,340.4156189,250.4156189,0.10498333, Diabase Dike, Wed Jul 25 13:24:22 2018, NED12 ,NED12,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, f6da2eee4cec6f4cbf05f9ae50474205,403244.2287,5043115.638,45.53485528,-94.23921182, 15T,4,5,-1, Dike orientation ,88.9005661,151.2169037,61.21690369,0.10498333, Diabase Dike, Wed Jul 25 13:24:08 2018, NED12 ,NED12,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 8f85597ca073764ea252ed7702d22480,403244.2287,5043115.638,45.53485528,-94.23921182, 15T,4,5,-1, Dike orientation ,82.26320648,332.3121643,242.3121643,0.10498333, Diabase Dike, Wed Jul 25 13:23:41 2018, NED12 ,NED12,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, fc9a984b802b51f759a6e1092ad690fd,403244.2287,5043115.638,45.53485528,-94.23921182, 15T,4,5,-1, Dike orientation ,89,339.1397095,249.1397095,0.10498333, Diabase Dike, Wed Jul 25 13:23:20 2018, NED12,NED12,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, c086101531f8c3fded93c36f46671f8a,403236.5172,5043119.012,45.53488457,-94.23931123, 15T,3,5,-1, Dike orientation ,87.60096741,155.9266968,65.92669678,0.10498333, Diabase Dike, Wed Jul 25 12:23:18 2018, ,NED12,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 5107ddc59a25689f6529719479d6599d,402990.1773,5042861.829,45.53253592,-94.24241454, 15T,3,5,-1, Dike orientation ,77.09698486,320.8571777,230.8571777,0.10498333, Diabase Dike, Wed Jul 25 10:24:43 2018, NED11 ,NED11,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, aa60b58a553cfd05fc4b43031d41f644,402989.2212,5042858.849,45.53250897,-94.24242619, 15T,3,5,-1, Dike orientation ,80.3741684,315.7807007,225.7807007,0.10498333, Diabase Dike, Wed Jul 25 10:24:05 2018, NED11,NED11,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, ab19d62c31472c2b65eebf32afa8c66f,402974.0692,5042865.362,45.53256547,-94.24262149, 15T,4,5,-1, Dike orientation ,84.62543488,330.637146,240.637146,0.10498333, Diabase Dike, Wed Jul 25 09:42:57 2018, NED10 ,NED10,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 8d4be9848ca0797200513dc8f87abc00,402974.6472,5042864.216,45.53255524,-94.24261387, 15T,3,5,-1, Dike orientation ,82.62858582,335.8204956,245.8204956,0.10498333, Diabase Dike, Wed Jul 25 09:41:27 2018, NED10,NED10,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 380427acbec058a8e07199627a2cdd8a,402974.6472,5042864.216,45.53255524,-94.24261387, 15T,3,5,-1, Dike orientation ,77.79263306,328.2469788,238.2469788,0.10498333, Diabase Dike, Wed Jul 25 09:41:10 2018, NED10,NED10,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 3de5f12a05eb6fc2e42e5594a29d5637,402998.4322,5042882.137,45.53271982,-94.24231287, 15T,0,-1,-1, Dike orientation ,84.69155884,147.3101502,57.31015015,0.10498333, Diabase Dike, Wed Jul 25 09:21:09 2018, NED9,NED9,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 554cfe626ae698b161cde38d0b4a5f20,402998.4322,5042882.137,45.53271982,-94.24231287, 15T,0,-1,-1, Dike orientation ,82.3727417,145.4512787,55.45127869,0.10498333, Diabase Dike, Wed Jul 25 09:20:58 2018, NED9,NED9,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, ee26e5c577134e776b4a8d432275cd17,402998.4322,5042882.137,45.53271982,-94.24231287, 15T,0,-1,-1, Dike orientation ,88.24266815,142.2051086,52.20510864,0.10498333, Diabase Dike, Wed Jul 25 09:20:47 2018, NED9 ,NED9,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 3f691397e02101b2c95b8cd3cfa3df61,403007.3268,5042899.789,45.53287991,-94.24220248, 15T,4,5,-1, Dike orientation ,84.88124847,342.8635559,252.8635559,0.10498333, Diabase Dike, Tue Jul 24 15:26:37 2018, NED8,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 0f6f4a67cf0dab239258e4172157eaba,403007.3268,5042899.789,45.53287991,-94.24220248, 15T,4,10,-1, Dike orientation ,87.85456085,340.3430786,250.3430786,0.10498333, Diabase Dike, Tue Jul 24 15:26:29 2018, NED8 ,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 7e3b9eb4a2ab266dab3d35a122ffd699,403007.3268,5042899.789,45.53287991,-94.24220248, 15T,4,5,-1, Dike orientation ,84.90655518,339.4801331,249.4801331,0.10498333, Diabase Dike, Tue Jul 24 15:26:06 2018, NED8 ,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, a9ac446f3b6e52f67e502c2c23b07d4e,403006.2386,5042900.537,45.53288649,-94.24221656, 15T,6,5,-1, Dike orientation ,85.35088348,342.4584656,252.4584656,0.10498333, Diabase Dike, Tue Jul 24 15:25:59 2018, NED8 ,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 278b2628751462cd5ae88fb7a2d2ec03,403007.3268,5042899.789,45.53287991,-94.24220248, 15T,6,10,-1, Dike orientation ,86.06686401,343.7457886,253.7457886,0.10498333, Diabase Dike, Tue Jul 24 15:25:41 2018, NED8 ,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 0a19ea15cbae0e8f5f9d05dfa3acc9ca,403007.3268,5042899.789,45.53287991,-94.24220248, 15T,6,10,-1, Dike orientation ,89,342.4883423,252.4883423,0.10498333, Diabase Dike, Tue Jul 24 15:25:33 2018, NED8 ,NED8,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, eff5511d899a20583e2c44e939c13cc6,403005.8944,5042900.715,45.53288804,-94.24222101, 15T,3,5,-1, Dike orientation ,84.04367065,341.198822,251.198822,0.10498333, Diabase Dike, Tue Jul 24 14:03:42 2018, NED7 ,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, c258ee759a031a7deeb7534d6732ed99,403005.4268,5042895.879,45.53284446,-94.24222603, 15T,3,10,-1, Dike orientation ,74.00079346,162.8193512,72.8193512,0.10498333, Diabase Dike, Tue Jul 24 14:03:16 2018, NED7 ,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, afcf9e1bcbdc09f9d6fa3ae4d587459e,403007.4516,5042894.739,45.53283448,-94.24219988, 15T,3,5,-1, Dike orientation ,87.07330322,156.5184784,66.51847839,0.10498333, Diabase Dike, Tue Jul 24 14:02:53 2018, NED7 ,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 240547a96f48e9bce292ba5789eb9d00,403010.3312,5042895.538,45.53284207,-94.24216317, 15T,3,5,-1, Dike orientation ,87.3628006,336.4676819,246.4676819,0.10498333, Diabase Dike, Tue Jul 24 14:02:38 2018, NED7 ,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 1bb8aaebd84b0a245d7679cf8004860d,403010.839,5042895.357,45.53284052,-94.24215663, 15T,3,10,-1, Dike orientation ,75.47654724,355.6134644,265.6134644,0.10498333, Diabase Dike, Tue Jul 24 14:02:19 2018, NED7 ,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, b3cd1ec90bd2a15788914d43f1bb817e,403010.839,5042895.357,45.53284052,-94.24215663, 15T,3,10,-1, Dike orientation ,85.74562836,165.9393005,75.93930054,0.10498333, Diabase Dike, Tue Jul 24 14:01:59 2018, NED7,NED7,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 72922cc60446fee3b09bcb959747a297,403023.7537,5042923.641,45.53309684,-94.24199687, 15T,3,5,-1, Dike orientation ,86.09738922,164.1011658,74.10116577,0.10498333, Diabase Dike, Tue Jul 24 10:15:44 2018, NED5 ,NED5,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 074368ee294027fa8b1ae0d3823456fd,403003.4163,5042918.246,45.53304546,-94.24225621, 15T,3,5,-1, Dike orientation ,83.02689362,158.1161041,68.11610413,0.10498333, Diabase Dike, Tue Jul 24 10:13:22 2018, NED5 ,NED5,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, bedeef2c75f0965ce81ec8a3aba2e2c5,403067.6096,5042952.177,45.53335974,-94.24144099, 15T,3,5,-1, Dike orientation ,84.43360901,160.5909119,70.59091187,0.10498333, Diabase Dike, Tue Jul 24 10:13:06 2018, NED5 ,NED5,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 86a2d2289ddbc64a5b21be18e5a14804,403009.9843,5042915.424,45.53302098,-94.24217155, 15T,3,5,-1, Dike orientation ,80.8502655,173.0206909,83.02069092,0.10498333, Diabase Dike, Tue Jul 24 10:11:12 2018, NED5,NED5,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 99ad542b24dcf7c485a694ebcf7dd150,403067.6096,5042952.177,45.53335974,-94.24144099, 15T,3,5,-1, Dike orientation ,85.48862457,335.2391357,245.2391357,0.10498333, Diabase Dike, Tue Jul 24 08:57:01 2018, NED4 ,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, b44877af52f1310978320630378d6cf8,403067.497,5042953.79,45.53337424,-94.24144275, 15T,3,5,-1, Dike orientation ,82.93256378,335.12146,245.12146,0.10498333, Diabase Dike, Tue Jul 24 08:55:23 2018, NED4 ,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, c5c0020e79f51721b4be3480e4d32de3,403061.1601,5042950.39,45.53334276,-94.24152321, 15T,3,5,-1, Dike orientation ,87.1325531,153.3975678,63.39756775,0.10498333, Diabase Dike, Tue Jul 24 08:54:56 2018, NED4 ,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 2068533454a82093df88e898ddf8ee94,403061.5127,5042952.024,45.53335751,-94.24151902, 15T,3,5,-1, Dike orientation ,86.55924225,158.9427795,68.94277954,0.10498333, Diabase Dike, Tue Jul 24 08:54:31 2018, NED4,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 806828a036123367ea19511b1101828f,403064.2614,5042955.367,45.53338798,-94.24148449, 15T,3,5,-1, Dike orientation ,86.04837036,353.141449,263.141449,0.10498333, Diabase Dike, Tue Jul 24 08:54:07 2018, NED4,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 13691cbe224258f1edd19ef7c76f63a3,403060.1345,5042947.141,45.53331338,-94.2415357, 15T,3,5,-1, Dike orientation ,80.5848999,162.0723572,72.07235718,0.10498333, Diabase Dike, Tue Jul 24 08:25:30 2018, ,NED4,,
Nick,3142608518a38e51b1d5ca8e90476a25, Locality 1, 1558df38259684c8d5ced14241bce01f,403055.2738,5042944.38,45.53328786,-94.24159739, 15T,3,5,-1, Dike orientation ,85.86786652,339.9438782,249.9438782,0.10498333, Diabase Dike, Tue Jul 24 08:25:02 2018, ,NED4,,
