locality number,description,easting,northing,sample number,U-Pb age,2sigma
9,Ann Lake Granite,471537,5086802,MN99–11,1784,10
10,Warman Granite,478081,5100234,AM.001,1787,3
11,Reformatory Granodiorite,405750,5042375,SC-127,1783,11
11,Reformatory Gd (SHRIMP),405750,5042375,SC-127,1781,10
12,Hb granite porphyry (core),425077,5068388,EC-2,1774,1
13,Pink-white Granite (core),434097,5089470,EC-4,1766,8
14,Granite (core),428358,5085749,EC-5,1784,8
15,Hb diorite (core),454380,5059878,EC-15,1786,43
16,Hb syenite (core),440157,5050358,EC-25,1788,4
17,Granite (core),427345,5032503,EC-34,1790,4
18,Rockville Granite,395715,5036603,SC-058,1780,7
19,St. Cloud Red Granite,403048,5043019,SC-032,1779,5
20,Watab Quartz Diorite,407275,5057387,MN99–04,1780,6
21,QFP dike,503124,5044956,SC-062,1774,7
22,Freedham Tonalite,406537,5096493,MN99–08,1775,3
22,Granite dike in Freedham Tonalite,406537,5096493,MN99–07,1773,2
23,Phase of Freedham Tonalite,409689,5098857,MN00–05,1776,7
24,Richmond Granite,383905,5033325,SC-015,1772,3
25,"Park Falls Granite, WI",697992,5087295,PF-99,1781,14
26,"Radisson Granite, WI",638427,5068705,VS73–37,1776,8
27,Foley Granite,410478,5051971,MN99–03,1779,4
28,Pierz Tonalite,411701,5090334,MN99–06,1796,19
29,Isle Granite,463080,5101185,MN99–10,1779,26